0,"mean: -25.68202, std: 1.16029, params: {'max_delta_step': 0}"
1,"mean: -25.66817, std: 1.16142, params: {'max_delta_step': 1}"
2,"mean: -25.68213, std: 1.16021, params: {'max_delta_step': 2}"
3,"mean: -25.68202, std: 1.16029, params: {'max_delta_step': 3}"
4,"mean: -25.68202, std: 1.16029, params: {'max_delta_step': 4}"
5,"mean: -25.68202, std: 1.16029, params: {'max_delta_step': 5}"
6,"mean: -25.68202, std: 1.16029, params: {'max_delta_step': 10}"
7,"mean: -25.68202, std: 1.16029, params: {'max_delta_step': 100}"
